YEAR,ATXPY,ASCHF,ABOOK,ACPIU,ACPIM,AWAGE,ASCHCI,ASCHCL,ASCHEI,ASCHEL,AINTS,ADIVS,ACGNS,ASOCSEC,AUCOMP,AIPD,ABENOTHER,ABENMCARE,ABENMCAID,ABENSSI,ABENSNAP,ABENWIC,ABENHOUSING,ABENTANF,ABENVET
2011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2012,1.043862,0.950283,1.104992,1.0209,1.0365,1.032649,1.049023,0.956138,1.165922,0.926962,0.923588,1.327776,1.58966,1.02827,0.7711,0.9231,0.992359,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2013,1.012518,1.142179,1.033784,1.014791,1.024602,1.019984,0.99505,1.050098,0.997245,1.013128,0.893658,0.819381,0.776217,1.014786,0.728829,0.896219,0.992515,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2014,1.029476,0.931683,0.976566,1.015927,1.023917,1.039999,1.040616,1.030349,1.075978,0.991321,0.925886,1.17606,1.387522,1.004801,0.641103,0.970506,0.99257,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2015,1.043858,0.508206,0.999544,1.001235,1.026485,1.024119,1.038052,1.040061,1.04481,1.057257,1.013311,1.013846,1.004308,1.017188,0.81793,0.988666,1.053858,1.023325,1.041528,1.019361,1.102667,1.007792,1.026748,1.132657,1.04693
2016,1.021978,1.071198,0.984833,1.012621,1.037807,1.006659,0.984484,1.005593,0.982695,0.983807,0.999649,0.968237,0.881651,0.991403,0.933831,1.001764,1.097065,1.011695,1.010367,0.993375,0.989722,1.002577,1.01625,0.828168,1.105413
2017,1.049373,0.907035,1.018491,1.01677,1.025035,1.040577,1.060677,1.132498,1.093477,1.160123,1.088642,1.102389,1.344721,1.00723,0.94186,1.029301,1.011911,1.030968,1.014601,0.981621,1.0,0.998715,1.063959,1.0,1.0
2018,1.042394,0.976786,1.074059,1.02,1.019707,1.041821,1.042769,1.042713,1.074048,1.074033,1.031272,1.076804,1.074755,1.018778,0.92284,1.050825,1.103035,1.045097,1.045897,1.005738,1.0,1.002574,1.034828,1.0,1.0
2019,1.032351,0.979401,1.019085,1.01341,1.028328,1.039292,1.004274,1.004387,1.019131,1.019122,1.014806,1.041751,0.925878,1.031182,0.940635,1.040577,1.054052,1.052158,1.045866,1.000751,1.0,1.002567,1.034809,1.0,1.0
2020,1.067957,1.167938,0.947032,1.00799,1.041121,1.006381,1.016054,1.015991,0.947016,0.94708,0.989319,1.091767,1.292516,1.023383,1.034222,1.076313,0.996727,1.050763,1.046106,1.00255,1.0,1.003841,1.034974,1.0,1.0
2021,1.065517,1.126248,1.216697,1.04269,1.012343,1.079707,1.057058,1.05708,1.216716,1.216644,0.999214,1.057982,1.792117,1.011965,8.619252,1.073809,1.03007,1.047248,1.047927,1.001796,1.0,1.002551,1.034869,1.0,1.0
2022,1.014347,1.742914,1.047552,1.07229,1.040311,1.076282,1.022527,1.022546,1.047553,1.047566,1.049118,1.042358,0.631565,1.04749,0.152665,1.022138,1.030159,1.048769,1.047573,0.999851,1.0,1.002545,1.034942,1.0,1.0
2023,1.050108,0.653145,1.091056,1.05402,1.004761,1.050035,1.013156,1.013121,1.091037,1.091047,1.026196,1.126711,1.0525,1.085497,0.748857,1.058072,1.030193,1.050822,1.048715,1.000448,1.0,1.003807,1.034968,1.0,1.0
2024,1.046242,0.895528,1.007166,1.0255,1.01407,1.040377,1.0397,1.03963,1.007187,1.007157,1.156028,1.023049,0.932271,1.052921,1.337549,1.054081,1.030334,1.048426,1.051767,0.99776,1.0,1.002528,1.034951,1.0,1.0
2025,1.0497085935594985,0.9722073744703118,1.0300885576848648,1.02198,0.958663,1.0487833911768254,1.0474761558098362,1.0475397504349873,1.020415,1.020444,1.0989395016444836,1.0314146276792444,0.983222664882903,1.0303416658211046,1.154874,1.054818693108358,1.030635,1.046248,1.052213,1.002245,1.0,1.003783,1.034897,1.0,1.0
2026,1.0392621309776977,0.9869881257371717,1.0145961458565438,1.02074,1.014023,1.0358668940026112,1.0376716889089581,1.0376506911613876,1.014711,1.014716,1.0984964147684715,1.0205535767906047,0.9709500467516559,1.0313615728044008,1.035291,1.0471538128208595,1.030633,1.072236,1.0,0.999552,1.0,1.002513,1.034808,1.0,1.0
2027,1.0369469703571765,0.9986135613540383,1.0173226450020405,1.01946,1.013312,1.033353317191765,1.0339241910357053,1.033922191453074,1.017568,1.017583,1.0666153740965607,1.013649083624125,0.9940896916352308,1.0320348154140704,1.045541,1.044381178688263,1.030788,1.0,1.0,1.0,1.0,1.002506,1.034863,1.0,1.0
2028,1.0366286096080186,1.0063834870368027,1.0237640462174653,1.01942,1.013356,1.0328382764200836,1.0313905542978548,1.0313765570588633,1.023985,1.02393,1.0506840309032683,1.0218429861602785,1.0094553373503334,1.0336361950555684,1.043558,1.0439352362484176,1.030942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2029,1.035742471448643,1.0101428624502493,1.0279554973274707,1.01966,1.013612,1.0331705355530736,1.0306749977197875,1.0306939941441213,1.028085,1.028143,1.0300582216753429,1.0323096864853734,1.0191779046232443,1.033817899827244,1.045739,1.0427523371017147,1.031131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2030,1.0362477398770154,1.0099937833476265,1.0239322012052134,1.01977,1.013855,1.0330195455751519,1.0303730259439703,1.030405020045088,1.02417,1.024128,1.0368651901472685,1.0330685428560362,1.024671449251005,1.0345182913468483,1.043738,1.04305951023761,1.03133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2031,1.0361820593525077,1.0100758590848222,1.0245472228176555,1.01991,1.014016,1.0326247783132743,1.0310460568939437,1.0310530556249755,1.024699,1.024734,1.0390439368293747,1.0328472261731478,1.0278959662238807,1.0367301184084157,1.038241,1.0427973839032765,1.03151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2032,1.0362234225152052,1.0097972048173767,1.0278149484283876,1.01999,1.014306,1.0319402261506425,1.0321481809403383,1.0321091879602982,1.028004,1.027983,1.039950159345198,1.03258684187877,1.0296959067146019,1.0364913658254107,1.031319,1.0426166725789683,1.031644,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2033,1.0356038242379717,1.0080160474501858,1.0279474961865376,1.02002,1.014309,1.0312979221293634,1.0337774740379009,1.0338074687129624,1.028128,1.02811,1.0314486801596747,1.032364162867317,1.0307023171409109,1.0375843836775618,1.028443,1.0417864719832644,1.031857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2034,1.035195096269946,1.008028894383648,1.0295321672716842,1.02,1.014443,1.0307339808194886,1.0331155614427423,1.0330745685229934,1.029705,1.029722,1.0268495292672473,1.032067262641313,1.0311444090519342,1.0374864376868975,1.029528,1.0411580948374304,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2035,1.0351913996306419,1.0080300202125942,1.029533316851736,1.02,1.014443,1.030735132169535,1.0331167152900282,1.0330757223244957,1.029705,1.029722,1.0268233296561837,1.0320009070055935,1.031078112750077,1.0374653535573157,1.029528,1.0411315301496518,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2036,1.03518693901699,1.0080297206767976,1.029533010644672,1.02,1.014443,1.0307348260596978,1.0331164082997282,1.0330754153463768,1.029705,1.029722,1.0267992356243694,1.031937007175536,1.0310142700579499,1.0374465014531946,1.029528,1.0411071003811747,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2037,1.0351783984311085,1.0080246688831784,1.0295278507362977,1.02,1.014443,1.030729660692958,1.0331112307828632,1.0330702380349501,1.029705,1.029722,1.0267744903339595,1.0318733462485528,1.030950666055275,1.0374301316512113,1.029528,1.0410820102791833,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2038,1.035169077352613,1.0080185433863742,1.029521594147478,1.02,1.014443,1.0307233974834913,1.0331049528417195,1.0330639603429086,1.029705,1.029722,1.0267502469583392,1.0318103366005016,1.0308877127491716,1.0374151387527195,1.029528,1.0410574290858792,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2039,1.0351605918718636,1.00801323940185,1.0295161764899552,1.02,1.014443,1.0307179743549724,1.0330995168577115,1.0330585245745945,1.029705,1.029722,1.0267266603494296,1.0317478873658017,1.0308253193553092,1.037400829230633,1.029528,1.041033513810957,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2040,1.035153817449117,1.0080095692593185,1.0295124274093232,1.02,1.014443,1.0307142219420402,1.0330957553768816,1.033054763243016,1.029705,1.029722,1.026704804979833,1.0316872222688587,1.030764708503864,1.0373872455592847,1.029528,1.0410113538991854,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2041,1.035145073785679,1.008003712090287,1.0295064444599182,1.02,1.014443,1.0307082333572366,1.0330897524413445,1.033048760545669,1.029705,1.029722,1.0266821472608734,1.031626013508147,1.0307035544747833,1.0373748105695655,1.029528,1.040988380457768,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2042,1.0351340369232183,1.0079952747773964,1.0294978261047585,1.02,1.014443,1.030699606649177,1.0330811051502873,1.0330401135977272,1.029705,1.029722,1.026658655198687,1.0315629540142153,1.0306405513673704,1.0373633405191092,1.029528,1.040964561047024,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2043,1.0351227932583673,1.007986540871675,1.0294889045365052,1.02,1.014443,1.030690676847759,1.0330721538851368,1.0330311626877533,1.029705,1.029722,1.0266352088174617,1.0314981891237252,1.0305758443883304,1.0373522372267485,1.029528,1.0409407879537795,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2044,1.0351062912501277,1.0079725244221733,1.0294745873096867,1.02,1.014443,1.030676345779626,1.0330577886103147,1.03301679798293,1.029705,1.029722,1.0266072410502596,1.0314287497323382,1.0305064670882373,1.0373419436123554,1.029528,1.04091243047161,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2045,1.0359262562999039,1.0085764396804,1.0300913937245517,1.02,1.014443,1.0312938585945628,1.033676733418884,1.0336357182324316,1.029705,1.029722,1.028381118875904,1.033763897972494,1.0328395272862536,1.0377891131986237,1.029528,1.042711026278281,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2046,1.0358680527226285,1.0085300853594914,1.0300440532717894,1.02,1.014443,1.0312464585218484,1.0336292254847985,1.0335882121834101,1.029705,1.029722,1.0282754402384726,1.0336710091648198,1.0327467215378652,1.037773607590697,1.029528,1.0426038750689974,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2047,1.0358205966304985,1.0084933422023208,1.030006528736678,1.02,1.014443,1.0312088862636057,1.0335915679060712,1.0335505560988951,1.029705,1.029722,1.0281840219610308,1.0335874447132558,1.032663231807937,1.037758894424947,1.029528,1.042511182929729,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2048,1.0357751154784118,1.0084586248957632,1.0299710729395608,1.02,1.014443,1.0311733856880336,1.033555986595004,1.0335149761996563,1.029705,1.029722,1.028093483345995,1.0334967146523957,1.0325725828760548,1.0377426368843983,1.029528,1.042419382710463,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2049,1.035737409291696,1.008430921852722,1.029942781097621,1.02,1.014443,1.0311450573280472,1.033527594110399,1.0334865848416348,1.029705,1.029722,1.028012906944398,1.033411012179847,1.0324869570369166,1.0377265111659824,1.029528,1.0423376835224278,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2050,1.0357036660255845,1.0084065261417252,1.0299178664933049,1.02,1.014443,1.0311201111919128,1.0335025912669251,1.033461582990247,1.029705,1.029722,1.0279386347063224,1.0333284946676162,1.0324045133101698,1.0377108055090307,1.029528,1.0422623763428556,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2051,1.0356743509697615,1.0083854131531944,1.029896304656995,1.02,1.014443,1.0310985217077253,1.0334809528425493,1.0334399454244607,1.029705,1.029722,1.0278735759327338,1.0332551167192026,1.0323312009748276,1.0376969556214586,1.029528,1.0421964110121704,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2052,1.035646123028406,1.008365291768022,1.0298757554168902,1.02,1.014443,1.0310779462602102,1.033460330699419,1.033419324099595,1.029705,1.029722,1.0278096501645024,1.0331806929240843,1.0322568437279558,1.0376831733536134,1.029528,1.0421315944746294,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2053,1.035622125362859,1.0083490040612018,1.0298591216268997,1.02,1.014443,1.0310612908468182,1.033443637642831,1.0334026317053697,1.029705,1.029722,1.0277510721739265,1.0331095764915506,1.032185790886292,1.0376696572264479,1.029528,1.0420722002329912,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2054,1.0356011556100129,1.0083352553068716,1.0298450806945723,1.02,1.014443,1.031047231730837,1.0334295467252712,1.0333885413469224,1.029705,1.029722,1.027697363079861,1.0330421090633042,1.03211838378605,1.0376565609179855,1.029528,1.0420177427331736,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2055,1.035583243621303,1.008324120112804,1.0298337089023861,1.02,1.014443,1.0310358451494848,1.033418134411264,1.0333771294857437,1.029705,1.029722,1.0276482534508804,1.0329788276117624,1.0320551589194973,1.0376443523214782,1.029528,1.0419679487893774,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2056,1.0355663756472053,1.0083136143444498,1.0298229798277363,1.02,1.014443,1.0310251022540753,1.0334073671873956,1.033366362689107,1.029705,1.029722,1.0276019089265265,1.0329179650399145,1.0319943507697251,1.0376329441652146,1.029528,1.041920958480372,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2057,1.0355511591407087,1.0083040384566389,1.02981320034538,1.02,1.014443,1.0310153102604354,1.033397552985871,1.0333565488769993,1.029705,1.029722,1.0275604664179094,1.0328628616068662,1.0319392966090477,1.0376228613271676,1.029528,1.041878938493911,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2058,1.0355361137055772,1.0082944140203831,1.029803371138501,1.02,1.014443,1.031005468711012,1.0333876890276836,1.0333466853102034,1.029705,1.029722,1.0275202349383648,1.0328084536738584,1.0318849373265089,1.0376128946950178,1.029528,1.0418381464115258,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2059,1.0355221314234366,1.008285377287592,1.0297941422358883,1.02,1.014443,1.03099622806341,1.0333784273990507,1.0333374240490618,1.029705,1.029722,1.0274832412505073,1.0327580057252361,1.0318345344874178,1.037603792123981,1.029528,1.0418006372376176,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2060,1.0355082287809172,1.0082760618934996,1.0297846284837144,1.02,1.014443,1.0309867026275081,1.0333688801741134,1.0333278772029484,1.029705,1.029722,1.027448032553959,1.0327099539014475,1.0317865256305943,1.0375954775330427,1.029528,1.04176493792786,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2061,1.0354972900540989,1.0082692090271095,1.029777629767988,1.02,1.014443,1.030979695199315,1.033361856761444,1.0333208540689605,1.029705,1.029722,1.027417827659452,1.0326679008750885,1.0317445102071976,1.0375881062552457,1.029528,1.0417343121452858,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2062,1.035487377967836,1.0082634831218804,1.0297717820311891,1.02,1.014443,1.030973840130077,1.0333559883564523,1.0333149858968207,1.029705,1.029722,1.0273880189325069,1.0326253078625236,1.0317019552804396,1.0375802244074148,1.029528,1.0417040880506439,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2063,1.0354787581733553,1.0082585746032235,1.0297667691923114,1.02,1.014443,1.030968820812489,1.0333509576802125,1.0333099554201928,1.029705,1.029722,1.02736175400115,1.032587632869926,1.0316643139760553,1.0375731468373628,1.029528,1.0416774571323708,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2064,1.035469818495325,1.0082531417816534,1.0297612205826812,1.02,1.014443,1.0309632655563685,1.0333453896528095,1.0333043876137231,1.029705,1.029722,1.0273362708511944,1.0325512511786796,1.0316279648165787,1.0375663878441255,1.029528,1.0416516188891793,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2065,1.0354635853667604,1.0082499177514974,1.0297579279079097,1.02,1.014443,1.0309599688273632,1.0333420853866886,1.033301083478712,1.029705,1.029722,1.0273155689928173,1.0325209384017529,1.0315976791447214,1.037560654671823,1.029528,1.0416306285621515,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2066,1.0354559304203272,1.0082453931569153,1.0297533068528224,1.02,1.014443,1.0309553422840378,1.0333374481891857,1.0332964464652081,1.029705,1.029722,1.0272930489600747,1.0324884015610212,1.031565171397772,1.0375546615195252,1.029528,1.0416077947255304,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2067,1.0354493151859834,1.0082414459437004,1.02974927566066,1.02,1.014443,1.030951306025997,1.0333334027422552,1.0332924011787967,1.029705,1.029722,1.0272737708892727,1.0324607305468771,1.031537525126487,1.0375496281270644,1.029528,1.04158824802575,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2068,1.0354442211210364,1.008238820536268,1.0297465941567698,1.02,1.014443,1.030948621539255,1.0333307119966937,1.033289710540001,1.029705,1.029722,1.0272568723219835,1.0324360869388844,1.031512903554308,1.037544799924392,1.029528,1.0415711139865136,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2069,1.0354397069405508,1.008236607869027,1.0297443343070187,1.02,1.014443,1.0309463590222498,1.033328444263128,1.0332874428964165,1.029705,1.029722,1.0272413009241266,1.0324132536009774,1.0314900906335083,1.0375403434678487,1.029528,1.0415553256100625,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2070,1.0354358167102384,1.0082348398941003,1.0297425286074693,1.02,1.014443,1.0309445512312756,1.0333266322888688,1.0332856309940546,1.029705,1.029722,1.0272271676714408,1.0323923055342012,1.031469161298068,1.03753622737011,1.029528,1.0415409954185195,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2071,1.0354335265617547,1.0082345037478098,1.0297421852562454,1.02,1.014443,1.0309442075345685,1.0333262877769551,1.0332852864958106,1.029705,1.029722,1.0272153063975011,1.03237398809035,1.031450860233303,1.0375322412327177,1.029528,1.0415289688644573,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2072,1.0354313962095074,1.0082341041852898,1.0297417771173454,1.02,1.014443,1.0309437990046733,1.0333258782705812,1.0332848770056855,1.029705,1.029722,1.0272047851333659,1.0323578472985258,1.0314347338742471,1.037528557026371,1.029528,1.041518300992476,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2073,1.0354279671680868,1.0082321449205176,1.0297397759951612,1.02,1.014443,1.0309417956472229,1.0333238702458745,1.033282869060655,1.029705,1.029722,1.0271946085495054,1.0323433727491222,1.0314202722676917,1.0375252142360616,1.029528,1.0415079826036935,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2074,1.0354227149290045,1.0082281500029189,1.029735695789743,1.02,1.014443,1.030937710789005,1.033319775907348,1.0332787748845875,1.029705,1.029722,1.0271840222597677,1.0323296553369317,1.0314065671213326,1.037522282854637,1.029528,1.041497248800015,1.032059,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
